1,Двигатель Брайт-445РEG 17л.с. шкив 25мм ПОД ШЛИЦЫ (03.01.148.002),--,796 ,шт,1,23571.43,23571.43,без акциза,5%,1178.57,24750,--,--,--
2,"Отвал Брайт снежный Каскад (шир.1000мм, выс.350мм,) съемный нож, без ремня",--,796 ,шт,1,3552.38,3552.38,без акциза,5%,177.62,3730,--,--,--
3,Лопата снегоуборочная/отвал МБ,--,796 ,шт,1,3350.48,3350.48,без акциза,5%,167.52,3518,--,--,--
4,Элемент питания Фаза LR 03 Super Alkaline BL-2 ААА (уп./20) (ФАZА),--,796 ,шт,40,28.57,1142.86,без акциза,5%,57.14,1200,--,--,--
